"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_131.rds",3,2,"Catch",3,1,4,15,208.190925270227,20.758805183637,3
"run_112.rds",3,2,NA,6,1,4,18,208.30115533427,20.86903524768,2
"run_135.rds",2,3,NA,2,1,4,14,208.343221655293,20.911101568703,5
"run_207.rds",2,2,NA,1,2,3,11,209.091727691465,21.659607604875,5
"run_76.rds",3,2,NA,3,3,4,17,209.194899892579,21.762779805989,2
"run_136.rds",2,3,NA,2,1,4,14,209.258588765959,21.826468679369,5
"run_5.rds",2,2,"NAO",3,2,3,12,209.354785442779,21.922665356189,5
"run_168.rds",3,1,"NAO",6,3,3,17,209.750148771408,22.318028684818,3
"run_77.rds",3,2,"Catch",3,3,4,17,209.878084657879,22.445964571289,3
"run_172.rds",2,2,NA,3,2,3,13,209.906918633709,22.474798547119,5
"run_75.rds",3,2,NA,3,3,4,17,209.975786548004,22.543666461414,2
"run_117.rds",2,3,NA,3,1,4,15,210.048485366407,22.616365279817,5
"run_78.rds",3,2,"Catch",3,3,4,17,210.256130834934,22.824010748344,3
"run_201.rds",3,1,NA,1,3,3,12,210.459878889831,23.027758803241,2
"run_96.rds",3,2,"Catch",1,3,4,15,210.463477041256,23.031356954666,3
"run_154.rds",2,3,NA,1,1,4,13,210.549490617497,23.117370530907,5
"run_171.rds",2,2,NA,3,2,3,13,210.905604074635,23.473483988045,5
"run_100.rds",2,3,NA,1,2,4,14,211.091604169468,23.659484082878,5
"run_185.rds",3,1,"NAO",3,3,3,14,211.301575552196,23.869455465606,3
"run_64.rds",2,3,NA,3,2,4,16,211.343666771469,23.911546684879,5
"run_189.rds",2,2,NA,2,2,3,12,211.423946263221,23.991826176631,5
"run_218.rds",1,3,NA,1,1,3,10,212.128008689132,24.695888602542,1
"run_19.rds",1,3,"NAO",1,1,3,9,212.595028587835,25.162908501245,1
"run_82.rds",2,3,NA,2,2,4,15,212.819608287501,25.387488200911,5
"run_95.rds",3,2,"Catch",1,3,4,15,213.050370067466,25.618249980876,3
"run_164.rds",1,3,NA,1,1,3,10,213.557947978148,26.125827891558,1
"run_46.rds",1,3,"NAO",1,1,3,9,213.981965350569,26.549845263979,1
