"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_243.rds",2,2,3,2,1,3,11,217.903837832468,18.347008184682,5
"run_101.rds",3,2,5,1,3,4,15,217.968779327284,18.411949679498,6
"run_55.rds",1,4,5,1,1,4,12,218.017831080578,18.461001432792,1
"run_145.rds",1,4,5,1,1,4,12,218.154864343646,18.59803469586,1
"run_129.rds",3,2,6,3,1,4,15,218.281811807475,18.724982159689,2
"run_127.rds",1,4,5,1,1,4,12,218.335179476472,18.778349828686,1
"run_14.rds",2,2,2,2,2,3,11,218.520662002788,18.963832355002,5
"run_77.rds",3,2,5,3,3,4,17,218.563886563972,19.007056916186,3
"run_153.rds",2,3,6,1,1,4,13,218.572877404606,19.01604775682,5
"run_225.rds",2,2,3,3,1,3,12,218.825920262067,19.269090614281,5
"run_147.rds",3,2,6,1,1,4,13,219.421495393221,19.864665745435,2
